region_id,commune_id,commune_name,postal_code,coordinates
1,1101,Iquique,1100000,"-20.200, -70.150"
1,1107,Alto Hospicio,1130000,"-20.250, -70.150"
1,1401,Pozo Almonte,1180000,"-20.200, -69.250"
1,1402,Camiña,1150000,"-20.700, -68.900"
1,1403,Colchane,1160000,"-20.300, -68.500"
1,1404,Huara,1140000,"-20.500, -69.000"
1,1405,Pica,1170000,"-20.300, -69.500"
2,2101,Antofagasta,1240000,"-23.6505, -70.3968"
2,2102,Mejillones,1310000,"-23.1103, -70.4422"
2,2103,Sierra Gorda,1320000,"-23.1301, -69.6425"
2,2104,Taltal,1300000,"-24.3151, -69.8297"
2,2201,Calama,1390000,"-22.4584, -68.9250"
2,2202,Ollagüe,1420000,"-22.2212, -67.4719"
2,2203,San Pedro de Atacama,1410000,"-22.9056, -67.1192"
2,2301,Tocopilla,1340000,"-22.0586, -70.1965"
2,2302,María Elena,1360000,"-23.2321, -69.1994"
3,3101,Copiapó,1530000,"-27.3664, -70.3350"
3,3102,Caldera,1570000,"-24.8883, -70.5600"
3,3103,Tierra Amarilla,1580000,"-27.1221, -70.3612"
3,3201,Chañaral,1490000,"-25.2820, -70.6128"
3,3202,Diego de Almagro,1500000,"-25.2588, -70.0519"
3,3301,Vallenar,1610000,"-28.5766, -70.4787"
3,3302,Alto del Carmen,1650000,"-27.2885, -69.6753"
3,3303,Freirina,1630000,"-27.5507, -70.1852"
3,3304,Huasco,1640000,"-27.0342, -70.5940"
4,4101,La Serena,1700000,"-29.9025, -71.2510"
4,4102,Coquimbo,1780000,"-29.9494, -71.3342"
4,4103,Andacollo,1750000,"-30.0339, -70.5065"
4,4104,La Higuera,1740000,"-30.0192, -70.5481"
4,4105,Paihuano,1770000,"-30.0505, -70.5145"
4,4106,Vicuña,1760000,"-30.0324, -70.3255"
4,4201,Illapel,1930000,"-31.6335, -70.5780"
4,4202,Canela,1960000,"-30.3860, -70.7071"
4,4203,Los Vilos,1940000,"-31.7014, -71.5107"
4,4204,Salamanca,1950000,"-31.3797, -70.6883"
4,4301,Ovalle,1840000,"-30.5854, -71.2022"
4,4302,Combarbalá,1890000,"-31.3327, -70.6777"
4,4303,Monte Patria,1880000,"-30.9202, -70.5758"
4,4304,Punitaqui,1900000,"-30.3571, -71.2683"
4,4305,Río Hurtado,1870000,"-30.1468, -70.6955"
5,5101,Valparaíso,2340000,"-33.0472, -71.6197"
5,5102,Casablanca,2480000,"-33.0479, -71.4018"
5,5103,Concón,2510000,"-32.9600, -71.5397"
5,5104,Juan Fernández,2600000,"-33.6413, -78.8411"
5,5105,Puchuncaví,2500000,"-32.9137, -71.4647"
5,5107,Quintero,2490000,"-32.8556, -71.5272"
5,5109,Viña del Mar,2520000,"-33.0157, -71.5500"
5,5201,Isla de Pascua,2770000,"-27.1121, -109.3497"
5,5301,Los Andes,2100000,"-32.7672, -70.6020"
5,5302,Calle Larga,2130000,"-32.8596, -70.7290"
5,5303,Rinconada,2140000,"-32.8008, -70.5619"
5,5304,San Esteban,2120000,"-32.7927, -70.6171"
5,5401,La Ligua,2040000,"-31.9030, -71.4308"
5,5402,Cabildo,2050000,"-32.6852, -71.1844"
5,5403,Papudo,2070000,"-31.6901, -71.4934"
5,5404,Petorca,2030000,"-31.6070, -71.2781"
5,5405,Zapallar,2060000,"-31.5900, -71.5885"
5,5501,Quillota,2260000,"-32.8700, -71.2386"
5,5502,Calera,2290000,"-32.8381, -71.1915"
5,5503,Hijuelas,2310000,"-32.8811, -71.0862"
5,5504,La Cruz,2280000,"-32.7574, -71.2346"
5,5506,Nogales,2300000,"-32.8936, -71.2031"
5,5601,San Antonio,2660000,"-33.5797, -71.6466"
5,5602,Algarrobo,2710000,"-33.3584, -71.5531"
5,5603,Cartagena,2680000,"-33.2708, -71.5961"
5,5604,El Quisco,2700000,"-33.3562, -71.5321"
5,5605,El Tabo,2690000,"-33.3505, -71.5285"
5,5606,Santo Domingo,2720000,"-33.4465, -71.6001"
5,5701,San Felipe,2170000,"-32.7631, -70.7463"
5,5702,Catemu,2230000,"-32.8600, -70.8395"
5,5703,Llaillay,2220000,"-32.8589, -70.7410"
5,5704,Panquehue,2210000,"-32.8171, -70.7038"
5,5705,Putaendo,2190000,"-32.7198, -70.6683"
5,5706,Santa María,2200000,"-32.7073, -70.7301"
5,5801,Quilpué,2430000,"-32.9523, -71.5382"
5,5802,Limache,2240000,"-32.9278, -71.3273"
5,5803,Olmué,2330000,"-32.9648, -71.3079"
5,5804,Villa Alemana,6500000,"-33.0365, -71.4872"
6,6101,Rancagua,2820000,"-34.1700, -70.7400"
6,6102,Codegua,2900000,"-34.1000, -70.8000"
6,6103,Coínco,3010000,"-34.2288, -70.7511"
6,6104,Coltauco,3000000,"-34.1983, -70.6870"
6,6105,Doñihue,3020000,"-34.1883, -70.7551"
6,6106,Graneros,2880000,"-34.1900, -70.7400"
6,6107,Las Cabras,3030000,"-34.0833, -70.7700"
6,6108,Machalí,2910000,"-34.1550, -70.7065"
6,6109,Malloa,2950000,"-34.3877, -70.7122"
6,6110,Mostazal,2890000,"-34.1692, -70.6770"
6,6111,Olivar,2920000,"-34.0466, -70.6683"
6,6112,Peumo,2990000,"-34.2633, -70.7278"
6,6113,Pichidegua,2980000,"-34.2061, -70.7146"
6,6114,Quinta de Tilcoco,2960000,"-34.1400, -70.7300"
6,6115,Rengo,2940000,"-34.2053, -70.6997"
6,6116,Requínoa,2930000,"-34.1851, -70.7069"
6,6117,San Vicente de Tagua Tagua,2970000,"-34.4300, -70.7130"
6,6201,Pichilemu,3220000,"-34.3747, -72.0258"
6,6202,La Estrella,3250000,"-34.4080, -70.5436"
6,6203,Litueche,3240000,"-34.3228, -70.6760"
6,6204,Marchigüe,3260000,"-34.3890, -70.6840"
6,6205,Navidad,3230000,"-34.3721, -70.7272"
6,6206,Paredones,3270000,"-34.2520, -70.6374"
6,6301,San Fernando,3070000,"-34.5816, -70.5875"
6,6302,Chépica,3120000,"-34.3867, -70.6260"
6,6303,Chimbarongo,3090000,"-34.3792, -70.5350"
6,6304,Lolol,3140000,"-34.3833, -70.7000"
6,6305,Nancagua,3110000,"-34.1727, -70.5725"
6,6306,Palmilla,3160000,"-34.3885, -70.7514"
